fecha_reparto,pred
2025-07-03,9566.0283203125
2025-07-04,9847.8359375
2025-07-05,9699.8330078125
2025-07-07,8967.8115234375
2025-07-08,8967.8115234375
2025-07-09,9000.3349609375
2025-07-10,9922.9140625
2025-07-11,9847.50390625
2025-07-12,9649.62109375
2025-07-14,9060.3818359375
2025-07-15,8518.22265625
2025-07-16,8552.0283203125
2025-07-17,9722.9912109375
2025-07-18,9281.353515625
2025-07-19,9354.517578125
2025-07-21,9060.3818359375
2025-07-22,8351.4453125
2025-07-23,9070.1533203125
2025-07-24,9508.9912109375
2025-07-25,9373.51171875
2025-07-26,9846.9091796875
2025-07-27,9291.125
2025-07-28,9060.3818359375
2025-07-30,8900.75390625
2025-07-31,9858.6572265625
2025-08-01,9300.7275390625
2025-08-02,9300.7275390625
2025-08-04,8988.0048828125
2025-08-05,8817.20703125
2025-08-06,8945.7431640625
2025-08-07,9650.6103515625
2025-08-08,9597.4765625
2025-08-09,9605.46484375
2025-08-11,9000.3349609375
2025-08-12,8945.7431640625
2025-08-13,8837.400390625
2025-08-14,9940.07421875
2025-08-15,9510.341796875
2025-08-16,9623.10546875
2025-08-18,9060.3818359375
2025-08-19,8347.7861328125
2025-08-20,8977.5830078125
2025-08-21,9721.927734375
2025-08-22,9243.3740234375
2025-08-23,9910.4267578125
2025-08-24,9591.7900390625
2025-08-25,8731.900390625
2025-08-26,8956.2509765625
2025-08-27,8453.787109375
2025-08-28,9434.162109375
2025-08-29,9605.8974609375
2025-08-30,9720.1376953125
2025-08-31,9398.412109375
2025-09-02,8808.18359375
2025-09-03,9056.6845703125
2025-09-04,9520.2255859375
2025-09-05,9687.8759765625
2025-09-06,9890.087890625
2025-09-08,9583.1357421875
2025-09-09,8977.5830078125
2025-09-10,8967.8115234375
2025-09-11,9415.642578125
2025-09-12,9770.916015625
2025-09-13,9797.517578125
2025-09-15,8967.8115234375
2025-09-16,9060.3818359375
2025-09-17,8988.0048828125
2025-09-18,9400.3974609375
2025-09-19,9857.275390625
2025-09-20,9847.50390625
2025-09-22,8351.4453125
2025-09-23,8440.3564453125
2025-09-24,8951.5751953125
2025-09-25,9529.923828125
2025-09-26,9188.783203125
2025-09-27,9193.4404296875
2025-09-28,9460.35546875
2025-09-29,8791.947265625
2025-09-30,8693.6494140625
2025-10-01,8808.18359375
2025-10-02,9188.783203125
2025-10-03,9393.2978515625
2025-10-04,9177.73828125
2025-10-06,8808.18359375
2025-10-07,8808.18359375
2025-10-08,9010.1064453125
2025-10-09,9700.5966796875
2025-10-10,9508.212890625
2025-10-11,9323.8095703125
2025-10-13,8967.8115234375
2025-10-14,8967.8115234375
2025-10-15,8808.18359375
2025-10-16,9552.92578125
2025-10-17,9350.7138671875
2025-10-18,9460.35546875
2025-10-20,9060.3818359375
2025-10-21,9060.3818359375
2025-10-22,8967.8115234375
2025-10-23,9732.4453125
2025-10-24,9628.099609375
2025-10-25,9729.4755859375
2025-10-27,8808.251953125
2025-10-28,8562.24609375
2025-10-29,8872.5341796875
2025-10-30,9550.740234375
2025-10-31,9183.6689453125
2025-11-01,9898.119140625
2025-11-03,9258.576171875
2025-11-04,9544.4501953125
2025-11-05,8855.8125
2025-11-06,9887.958984375
2025-11-07,9466.5146484375
2025-11-08,9646.0830078125
2025-11-10,9818.6123046875
2025-11-11,9837.3701171875
2025-11-12,9815.3017578125
2025-11-13,9845.1474609375
2025-11-14,9647.890625
2025-11-15,9714.8271484375
2025-11-17,9837.3701171875
2025-11-18,9203.2880859375
2025-11-19,9062.41796875
2025-11-20,9903.3955078125
2025-11-21,9409.3359375
2025-11-22,9762.525390625
2025-11-24,9367.3828125
2025-11-25,9386.140625
2025-11-26,9458.79296875
2025-11-27,9972.1396484375
2025-11-28,9874.455078125
2025-11-29,9748.1279296875
2025-11-30,9569.7421875
2025-12-02,8793.560546875
2025-12-03,9043.66015625
2025-12-04,10175.7529296875
2025-12-05,9490.248046875
2025-12-06,11063.3798828125
2025-12-08,10136.8828125
2025-12-09,9367.3828125
2025-12-10,10336.396484375
2025-12-11,10003.6328125
2025-12-12,9814.1435546875
2025-12-13,9750.8271484375
2025-12-14,10052.0458984375
2025-12-15,9222.0458984375
2025-12-16,9280.32421875
2025-12-17,9477.55078125
2025-12-18,9550.2060546875
2025-12-19,10097.63671875
2025-12-20,10060.384765625
2025-12-21,9914.166015625
2025-12-22,9386.140625
2025-12-23,9367.3828125
2025-12-24,9458.79296875
2025-12-26,10409.2919921875
2025-12-27,9984.1474609375
2025-12-28,9576.8583984375
2025-12-29,9222.0458984375
2025-12-30,9303.525390625
2025-12-31,9477.55078125
