Fecha,Real,Predicción
2025-05-15,9329.983333332,10002.732596668924
2025-05-16,6820.808333308,8864.528862413916
2025-05-17,7213.849999995,8594.465037615628
2025-05-18,8448.666666643,9706.489938560222
2025-05-20,6575.216666643,9524.65767244214
2025-05-21,7252.0916666680005,7941.245322736044
2025-05-22,8794.899999978,9339.082614531873
2025-05-23,6983.724999962,9396.915819054571
2025-05-24,6746.783333291,9108.722476288991
2025-05-25,9371.766666626,10070.957865312941
2025-05-26,6400.974999939,9653.844044711332
2025-05-27,8049.291666607,8068.129095291457
2025-05-28,6419.349999987,9357.868931431176
2025-05-29,8182.308333324,9581.419144644453
2025-05-30,8810.008333363001,9574.283578133794
2025-05-31,12075.14,10136.215321294563
2025-06-01,2776.916666667,10353.30485350561
2025-06-02,58.34,8138.818978873858
2025-06-03,6166.704999969,8277.497302624419
2025-06-04,7778.334999973,8025.705860183739
2025-06-05,7282.663333331,8164.569101526853
2025-06-06,8062.680000011,9292.918650947408
2025-06-07,14589.413333331999,10429.41500203736
2025-06-08,7908.68333335,10157.324912783295
2025-06-09,7511.62,9010.70098607453
2025-06-10,6512.86,8187.10096156377
2025-06-11,7721.45,8581.049484861049
2025-06-12,9493.56,10326.417609522403
2025-06-13,7211.59,10064.418582393682
2025-06-14,9846.48,9641.121719337632
2025-06-16,12715.79,7925.243700029614
2025-06-17,6132.6,8088.836362677641
2025-06-18,7343.44,8123.348870269878
2025-06-19,6725.5,9538.885563417925
2025-06-20,6186.37,9639.027172192702
2025-06-21,8545.74,10418.690274950673
2025-06-23,9150.59,8097.804151267738
2025-06-24,8484.31,8365.492325135066
2025-06-25,11813.08,8598.830722595252
2025-06-26,10128.23,10086.473586775004
2025-06-27,6804.0,10502.580952942555
2025-06-28,14218.72,9838.645741123348
2025-06-30,10721.14,8020.889962853564
2025-07-01,4773.05665,7978.272692070175
2025-07-02,7007.92332,7748.003246770225
2025-07-03,6331.86999,8764.887771678676
2025-07-04,5739.04331,10152.712369663619
2025-07-05,7718.84333,10306.305917421634
2025-07-07,8072.09666,8075.317359170567
2025-07-08,7331.63332,8030.4410580447275
2025-07-09,7904.25,7850.449632412088
2025-07-10,7743.46332,9179.040317197052
2025-07-11,6535.44332,9777.330967228612
2025-07-12,8542.47332,10447.588684930013
2025-07-14,7381.01666,8630.261117931608
2025-07-15,7821.11665,8361.887199299308
2025-07-16,8020.69665,9581.376691936735
2025-07-17,7881.6433,7815.5766988527175
2025-07-18,8001.19998,8866.283278488423
2025-07-19,8426.66665,9345.971380205361
2025-07-21,7065.69332,7425.231004349541
2025-07-22,8917.63332,7834.535779518543
2025-07-23,10667.529989999999,8587.319817430993
2025-07-24,8538.14666,7166.478225733183
2025-07-25,8859.06,8126.849002480223
2025-07-26,10700.74999,10639.739661663505
