fecha_reparto,Real,Predicción
2024-09-13,9521.67,9927.685546875
2024-09-14,8557.24,8683.53515625
2024-09-15,8465.87,8443.75390625
2024-09-16,9821.76,9778.205078125
2024-09-18,8216.87,8006.9658203125
2024-09-19,9762.3,9083.9521484375
2024-09-20,9060.63,10146.5205078125
2024-09-21,9178.88,8893.6142578125
2024-09-22,8377.02,8407.1455078125
2024-09-23,10258.92,9184.103515625
2024-09-25,7429.43,8156.88037109375
2024-09-26,11776.14,8859.7734375
2024-09-27,9220.67,10095.67578125
2024-09-28,9579.13,9375.0517578125
2024-09-29,10142.58,9235.2265625
2024-09-30,12127.0,8977.90625
2024-10-01,7418.46666666,8070.8056640625
2024-10-03,6488.283333356,8321.5537109375
2024-10-04,7314.025000002,9614.3935546875
2024-10-05,8521.016666672,8633.8818359375
2024-10-06,6683.333333326,8791.388671875
2024-10-07,11286.416666629,9419.763671875
2024-10-08,12522.574999954,8477.453125
2024-10-10,9634.566666628,8442.2109375
2024-10-11,8144.808333303,9688.91796875
2024-10-12,8342.524999965,7927.38232421875
2024-10-13,8064.633333305,8033.404296875
2024-10-14,10829.708333331,10476.041015625
2024-10-15,9548.100000021,8702.6474609375
2024-10-17,6976.791666689,10240.109375
2024-10-18,7811.008333277,8887.82421875
2024-10-19,11795.099999966,8938.990234375
2024-10-20,8945.141666634,8754.0595703125
2024-10-21,11647.008333321999,11032.29296875
2024-10-22,10298.866666656,10155.0693359375
2024-10-24,7257.108333338,10993.244140625
2024-10-25,8540.15000001,9348.685546875
2024-10-26,11143.258333272,9187.5517578125
2024-10-27,8224.724999966,9155.658203125
2024-10-28,11285.374999922,11584.5185546875
2024-10-29,10289.90833326,10986.01171875
2024-10-31,8151.766666581,9815.8828125
2024-11-01,7471.59,8632.6015625
2024-11-02,6483.69,8348.2578125
2024-11-03,7532.78,8034.0703125
2024-11-04,8564.47,9835.85546875
2024-11-06,7124.61,10307.09765625
2024-11-07,7866.47,11309.6494140625
2024-11-08,12641.24,10062.1640625
2024-11-09,8790.7,8440.6474609375
2024-11-10,11254.039999999999,8516.4599609375
2024-11-11,11313.73,10373.55078125
2024-11-12,8508.93,9811.658203125
2024-11-13,10314.05,10509.962890625
2024-11-14,11013.63,8792.759765625
2024-11-15,10354.62,10657.1044921875
2024-11-16,8921.91,9085.9130859375
2024-11-17,7702.1,10057.8564453125
2024-11-20,7658.44,8698.90625
2024-11-21,9150.26,8393.9384765625
2024-11-22,10751.99,9171.9208984375
2024-11-23,9107.2,9507.0380859375
2024-11-24,9365.460000000001,10256.306640625
2024-11-25,10358.12,12226.4453125
2024-11-26,7159.94,10038.5859375
2024-11-27,7364.06,9899.4892578125
2024-11-28,10205.36,10303.8984375
2024-11-29,7686.85,9748.94921875
2024-11-30,9497.909999992,11182.6416015625
2024-12-01,7491.116666666,11148.8896484375
2024-12-02,5950.01,8919.7919921875
2024-12-04,7117.84,9332.6611328125
2024-12-05,11919.21,11757.2607421875
2024-12-06,9906.53,10035.107421875
2024-12-07,10656.97,10258.6328125
2024-12-08,12007.3,11667.5771484375
2024-12-09,9064.29,10196.6943359375
2024-12-10,8962.03,9675.6376953125
2024-12-11,10269.01,10952.763671875
2024-12-12,8869.81,10528.66015625
2024-12-13,8530.66,11363.0537109375
2024-12-14,11255.539999999999,12468.921875
2024-12-15,7520.6,9891.896484375
2024-12-16,9537.64,9137.2060546875
2024-12-17,10939.81,10160.505859375
2024-12-18,10450.18,9562.2333984375
2024-12-19,10148.8,10096.0888671875
2024-12-20,13994.42,10822.666015625
2024-12-21,12267.44,8896.630859375
2024-12-22,12781.49,8683.212890625
2024-12-23,13386.37,11265.40234375
2024-12-24,9556.94,9867.1533203125
2024-12-26,10388.09,10118.2783203125
2024-12-27,12972.96,10484.6201171875
2024-12-28,12448.58,8440.39453125
2024-12-29,15207.63,7687.4130859375
2024-12-30,13457.916666653,10550.2578125
2024-12-31,13186.683333323,9344.0517578125
2025-01-03,8764.208333328,10501.3671875
2025-01-04,9092.625000014,11893.14453125
2025-01-05,13560.599999976,9220.2626953125
2025-01-06,12218.041666649,9219.2900390625
2025-01-08,11773.98333332,11079.708984375
2025-01-09,14683.641666598,10095.0634765625
2025-01-10,12504.541666709,9586.064453125
2025-01-11,10260.416666641,11560.849609375
2025-01-12,9868.841666639,8890.8232421875
2025-01-13,13226.666666615,8915.775390625
2025-01-15,10078.141666616,11447.712890625
2025-01-16,12736.316666626,9577.3779296875
2025-01-17,11159.133333289,10537.099609375
2025-01-18,11846.083333303,12060.287109375
2025-01-19,10592.86666664,9287.078125
2025-01-20,10996.524999969,8467.74609375
2025-01-22,10246.849999989,11278.53125
2025-01-23,10775.983333311,9993.7109375
2025-01-24,11661.633333292,9465.14453125
2025-01-25,11121.591666606,10421.998046875
2025-01-26,12229.241666634,12228.1396484375
2025-01-27,12811.908333274,14556.001953125
2025-01-29,10672.949999973,12003.046875
2025-01-30,15952.949999965,14990.3154296875
2025-01-31,14921.508333275,12914.2431640625
2025-02-01,10812.39,10588.6923828125
2025-02-02,9385.78,11934.673828125
2025-02-03,10437.06,11848.388671875
2025-02-05,11992.891666678,11028.517578125
2025-02-06,13558.54166662,12789.7763671875
2025-02-07,13981.508333324,12378.5859375
2025-02-08,13876.124999993,12794.888671875
2025-02-09,11545.041666624,11541.8701171875
2025-02-10,13560.649999966,11999.0859375
2025-02-12,13649.208333291,10891.001953125
2025-02-13,13560.62,11928.3837890625
2025-02-14,12695.941666638,12665.720703125
2025-02-15,11032.799999991,13023.9287109375
2025-02-16,12743.091666659,13862.9619140625
2025-02-17,11481.02499996,15572.20703125
2025-02-19,11022.758333318001,13421.0654296875
2025-02-20,14736.291666611,13250.984375
2025-02-21,14882.124999951,12851.796875
2025-02-22,11148.033333284,11090.0361328125
2025-02-23,11047.83,13382.81640625
2025-02-24,14472.22,13662.3369140625
2025-02-26,11735.858333306,12628.5732421875
2025-02-27,14133.641666295,14518.6904296875
2025-02-28,25406.57499993,13326.568359375
2025-03-01,8135.758333305,13894.123046875
2025-03-02,9034.649999964,11121.8076171875
2025-03-04,8665.541666646,12396.1796875
2025-03-05,12754.883333314,12753.701171875
2025-03-06,13962.29999997,12934.9873046875
2025-03-07,12517.866666656,14114.818359375
2025-03-08,10600.875,10484.921875
2025-03-09,12815.191666649,12294.4580078125
2025-03-11,8914.62,11286.654296875
2025-03-12,11222.17,11941.296875
2025-03-13,12825.960000000001,12555.796875
2025-03-14,12573.59,13425.4404296875
2025-03-15,9172.775000008,12089.0224609375
2025-03-16,10090.074999971,11688.86328125
2025-03-18,8961.866666659,13074.9794921875
2025-03-19,8682.808333292,11711.6630859375
2025-03-20,10210.916666632,14878.416015625
2025-03-21,9469.224999984,12466.76171875
2025-03-22,7513.808333333,13906.494140625
2025-03-23,10449.92499997,11417.2744140625
2025-03-24,7767.716666666,13239.0439453125
2025-03-25,9038.966666661,13384.3955078125
2025-03-26,8452.041666649,14033.625
2025-03-27,12213.716666655,14245.443359375
2025-03-28,8772.166666697,10654.3271484375
2025-03-30,11245.900000025,13739.86328125
2025-03-31,9516.424999992,11411.4033203125
2025-04-02,9970.591666651,13622.103515625
2025-04-03,10651.583333344,11322.8544921875
2025-04-04,9028.466666664,10715.794921875
2025-04-05,10675.349999992,8558.3173828125
2025-04-06,14910.674999982,10506.2587890625
2025-04-08,11233.933333318,8594.7255859375
2025-04-09,8719.15833331,9284.037109375
2025-04-10,10273.116666638,9795.9052734375
2025-04-11,8330.349999978,11078.82421875
2025-04-12,8445.88333332,9026.3310546875
2025-04-13,10478.041666657,11413.0791015625
2025-04-15,7214.816666658,10257.765625
2025-04-16,9614.45833332,9192.572265625
2025-04-17,9319.666666645,10445.927734375
2025-04-18,7639.549999978,10544.9267578125
2025-04-19,8468.991666633,8664.1796875
2025-04-20,12029.466666635,10630.5126953125
2025-04-22,7977.358333296,9312.3515625
2025-04-23,9553.899999961,9344.431640625
2025-04-24,9835.466666633,10312.7158203125
2025-04-25,8334.533333251,11218.24609375
2025-04-26,8123.183333246,9125.658203125
2025-04-27,10935.799999999,11412.5615234375
2025-04-28,8967.899999991,9804.837890625
2025-04-29,8884.325000017,8993.0478515625
2025-04-30,9641.241666643,11198.2578125
2025-05-02,5988.06,11359.765625
2025-05-03,7374.85,9345.6220703125
2025-05-04,8165.44,10801.2685546875
2025-05-06,7909.1,9885.0810546875
2025-05-07,8634.541666662,8844.693359375
2025-05-08,9115.691666677,10019.2109375
2025-05-09,8118.783333334,8777.392578125
